Feature,Importance,Rank,Importance_pct,Cumulative_pct
ATR,0.041624192,1,4.162419,4.162419
volatility_10,0.039938923,2,3.993892,8.156311
ATR_pct,0.038851283,3,3.885128,12.041439
EMA_diff_pct,0.038769018,4,3.8769014,15.918341
volatility_20,0.0374478,5,3.7447796,19.66312
MACD,0.036673997,6,3.6673994,23.33052
price_vs_EMA20,0.036369156,7,3.6369152,26.967436
MACD_signal,0.035784043,8,3.578404,30.54584
BB_width,0.035521664,9,3.552166,34.098007
spread_norm,0.035511248,10,3.5511243,37.64913
momentum_10,0.035087604,11,3.50876,41.15789
MACD_hist,0.033411976,12,3.3411973,44.49909
RSI,0.03337824,13,3.3378236,47.83691
price_position,0.033020962,14,3.302096,51.139008
BB_position,0.032405358,15,3.2405355,54.379543
rsi_lag_1,0.03120941,16,3.1209404,57.500484
rsi_lag_5,0.031075496,17,3.1075492,60.608032
momentum_5,0.03102264,18,3.1022637,63.710297
rsi_lag_3,0.030996481,19,3.0996478,66.809944
rsi_lag_2,0.03068819,20,3.0688188,69.87876
rsi_lag_4,0.030648414,21,3.064841,72.9436
return_1,0.030517122,22,3.0517118,75.995316
return_lag_2,0.028992169,23,2.8992164,78.89453
return_5,0.028704178,24,2.8704174,81.764946
body_ratio,0.028304936,25,2.8304932,84.595436
return_lag_1,0.027867299,26,2.7867296,87.382164
return_lag_5,0.027584884,27,2.7584882,90.140656
return_lag_4,0.027431268,28,2.7431264,92.88378
return_lag_3,0.027414994,29,2.741499,95.62528
EMA_cross,0.02234603,30,2.234603,97.859886
candle_direction,0.021401163,31,2.1401162,100.0
